customer_id,gender,marketing_opt_in,preferred_language,preferred_channel,lifetime_value,risk_score,notes,created_at,updated_at
238,female,1,en,online,750.95,91,Prefers in-store pickup and weekend promotions.,2023-09-23 03:48:59,2023-11-28 06:04:14
239,male,1,pt,both,1692.27,17,Prefers in-store pickup and weekend promotions.,2023-06-17 00:35:52,2023-09-10 14:49:18
240,male,1,en,online,224.83,53,Prefers in-store pickup and weekend promotions.,2024-05-02 21:54:55,2024-07-03 10:43:38
241,male,1,en,online,865.24,84,"Frequent online shopper, responds well to email campaigns.",2024-09-19 17:27:31,2024-11-08 10:03:40
242,female,1,en,online,1078.92,58,"Price-sensitive, often uses coupons and promo codes.",2024-04-16 06:31:51,2024-07-23 15:09:52
243,male,1,en,online,46.52,13,High-value customer with stable purchasing pattern.,2024-06-20 23:39:57,2024-10-05 12:34:02
244,other,1,pt,online,67.25,99,"Frequent online shopper, responds well to email campaigns.",2024-01-28 08:48:39,2024-05-18 22:56:21
245,female,1,en,online,219.55,61,"New customer, limited history so far.",2025-02-11 07:20:24,2025-05-22 12:20:28
246,female,0,en,both,1928.43,42,"New customer, limited history so far.",2023-06-28 09:11:02,2023-07-02 23:32:21
247,male,1,en,store,193.11,52,"Frequent online shopper, responds well to email campaigns.",2023-09-23 02:52:01,2023-09-27 15:44:57
248,female,1,en,both,858.21,98,High-value customer with stable purchasing pattern.,2023-04-25 19:10:40,2023-09-07 09:22:14
249,female,0,en,store,1473.48,76,,2024-02-19 15:27:39,2024-05-28 04:18:53
250,female,0,en,store,1234.63,79,High-value customer with stable purchasing pattern.,2023-06-07 20:35:34,2023-06-25 09:02:17
